26.75,N
34.94,N
69.1,N
73.44,N
44.8,N
24.01,N
80.95,N
83.34,N
39.39,N
50.11,N
2.06,N
80.41,N
85.21,N
64.94,N
97.37,N
72.05,N
41.83,N
77.49,N
89.36,N
72.88,N
7.52,N
37.2,N
66.2,N
99.81,N
41.1,N
47.01,N
49.22,N
39.56,N
73.8,N
15.26,N
89.62,N
13.11,N
10.52,N
96.46,N
92.36,N
88.86,N
48.54,N
18.53,N
53.94,N
4.19,N
30.69,N
71.97,N
20.29,N
93.07,N
20.18,N
82.58,N
91.7,N
32.14,N
53.71,N
72.31,N
90.95,N
18.59,N
45.08,N
68.65,N
49.97,N
95.09,N
86.97,N
23.09,N
5.05,N
32.98,N
8.49,N
76.05,N
65.92,N
75.42,N
83.44,N
94.62,N
94.86,N
98.09,N
19.11,N
0.19,N
36.54,N
70.57,N
38.49,N
70.81,N
66.75,N
70.03,N
96.87,N
87.65,N
61.8,N
82.28,N
56.8,N
21.91,N
30.91,N
62.64,N
85.59,N
30.36,N
98.14,N
5.74,N
1.34,N
47.95,N
65.37,N
13.78,N
43.54,N
55.7,N
68.24,N
54.3,N
72.27,N
66.33,N
64.93,N
24.95,N
91.1,N
79.77,N
35.3,N
65.37,N
34.52,N
63.91,N
92.84,N
47.27,N
90.26,N
65.09,N
68.23,N
8.36,N
17.86,N
76.58,N
75.63,N
16.01,N
63.9,N
82.83,N
66.46,N
40.98,N
81.35,N
88.75,N
52.7,N
47.5,N
1.55,N
89.75,N
82.28,N
94.57,N
69.25,N
53.17,N
26.44,N
11.31,N
93.57,N
89.12,N
47.8,N
24.89,N
42.3,N
55.89,N
12.62,N
36.54,N
80.14,N
87.85,N
95.55,N
72.97,N
17.01,N
81.11,N
97.84,N
30.82,N
22.32,N
98.49,N
15.28,N
75.57,N
9.33,N
93.08,N
57.48,N
45.47,N
41.1,N
27.15,N
54.86,N
69.63,N
57.41,N
80.09,N
38.66,N
27.63,N
2.4,N
45.18,N
5.63,N
35.11,N
33.71,N
89.22,N
13.84,N
42.67,N
24.91,N
46.44,N
90.1,N
37.51,N
31.04,N
11.81,N
11.95,N
16.16,N
86.42,N
37.09,N
99.25,N
91.79,N
29.95,N
11.71,N
49.0,N
45.14,N
64.49,N
99.79,N
92.19,N
4.39,N
54.12,N
23.67,N
70.61,N
13.91,N
98.17,N
51.81,N
2.15,N
62.8,N
29.0,N
8.56,N
84.24,N
50.27,N
80.97,N
50.37,N
26.66,N
93.55,N
36.57,N
71.89,N
87.59,N
25.75,N
61.69,N
66.0,N
85.19,N
75.8,N
6.41,N
17.15,N
71.73,N
81.36,N
13.06,N
87.83,N
93.95,N
29.9,N
15.28,N
32.33,N
36.94,N
57.36,N
51.19,N
11.03,N
78.31,N
53.75,N
35.61,N
23.32,N
27.72,N
76.92,N
6.86,N
93.12,N
80.98,N
18.78,N
79.71,N
36.93,N
10.15,N
33.42,N
68.4,N
43.29,N
23.05,N
61.62,N
56.34,N
69.59,N
89.6,N
73.17,N
70.97,N
98.71,N
25.66,N
21.77,N
33.67,N
14.88,N
78.51,N
78.02,N
26.25,N
53.66,N
67.22,N
4.6,N
32.67,N
30.99,N
29.04,N
33.4,N
54.33,N
89.91,N
24.45,N
57.93,N
86.35,N
24.26,N
6.44,N
43.65,N
17.77,N
12.18,N
55.17,N
30.99,N
25.52,N
18.57,N
23.2,N
15.76,N
88.72,N
40.11,N
40.14,N
86.92,N
49.46,N
6.51,N
32.12,N
58.87,N
22.53,N
4.77,N
91.33,N
23.4,N
35.82,N
71.23,N
17.51,N
45.04,N
12.37,N
86.52,N
56.92,N
16.98,N
12.37,N
20.91,N
48.91,N
84.4,N
70.58,N
39.68,N
67.94,N
74.52,N
55.17,N
56.28,N
34.97,N
80.06,N
63.97,N
51.82,N
22.62,N
33.01,N
47.67,N
17.84,N
57.24,N
71.09,N
5.86,N
38.74,N
57.39,N
85.44,N
48.84,N
48.48,N
33.39,N
84.5,N
24.81,N
97.0,N
2.99,N
98.97,N
28.26,N
73.68,N
2.84,N
25.41,N
81.95,N
66.58,N
16.91,N
86.52,N
9.02,N
10.72,N
81.24,N
1.1,N
49.94,N
23.73,N
31.89,N
87.01,N
7.85,N
52.16,N
77.03,N
20.39,N
41.53,N
58.06,N
85.8,N
45.67,N
98.59,N
33.93,N
16.53,N
77.35,N
18.6,N
68.65,N
99.65,N
45.18,N
38.87,N
27.95,N
88.1,N
50.81,N
5.57,N
11.02,N
17.66,N
11.19,N
40.59,N
29.07,N
42.36,N
48.41,N
47.72,N
34.13,N
75.14,N
25.87,N
97.92,N
96.15,N
82.37,N
12.26,N
60.79,N
98.72,N
82.33,N
10.09,N
58.63,N
51.56,N
8.62,N
10.51,N
46.76,N
86.95,N
0.42,N
8.56,N
