57.33,W
73.43,W
,
18.2,C
78.12,W
83.2,W
86.91,W
87.22,W
99.8,C
,
72.84,W
23.91,N
52.68,N
71.62,N
88.56,N
12.87,N
92.51,N
88.99,C
37.01,C
79.76,W
47.07,N
81.87,N
,
99.61,W
,
53.5,N
31.51,C
29.99,N
,
34.16,N
7.77,N
,
8.31,W
69.26,W
60.05,W
35.36,C
49.57,W
83.14,C
35.5,N
20.74,N
32.02,N
85.89,N
23.05,N
30.73,N
31.84,W
71.09,N
65.67,W
16.3,W
1.57,N
23.55,C
,
59.59,W
,
,
9.46,W
5.27,N
,
1.93,N
54.59,C
45.39,C
30.88,C
11.58,C
62.99,W
26.46,W
99.64,C
34.28,N
87.94,N
62.99,C
,
58.12,C
,
61.38,W
59.63,N
62.86,N
95.45,N
16.56,W
97.85,W
,
39.85,N
98.81,N
91.31,W
54.06,W
10.34,N
91.93,C
85.18,N
7.85,N
8.27,N
,
25.44,W
73.98,W
62.18,N
,
92.9,W
31.51,W
84.07,W
29.7,W
,
24.71,N
27.33,N
18.51,W
